# prefix/ip,country_code,region_code,city,postal
5.8.184.0/24,ES,,Madrid,
5.8.185.0/24,ES,,Madrid,
5.8.186.0/24,ES,,Madrid,
5.8.187.0/24,ES,,Madrid,
5.8.189.0/26,IT,,Torino,
5.8.189.64/27,IT,,Torino,
5.8.189.96/28,IT,,Torino,
5.8.189.112/28,GB,,Farnborough,
5.8.190.0/24,ES,,Madrid,
5.8.191.0/24,ES,,Madrid,
5.152.170.0/24,ES,,Madrid,
37.1.161.0/25,FR,,Paris,
37.1.161.128/25,DE,,Frankfurt am Main,
37.1.162.0/24,IT,,Torino,
37.1.163.0/26,GB,,Farnborough,
37.1.163.64/26,FR,,Paris,
37.1.163.128/25,MA,,Marrakech,
37.1.164.0/25,IT,,Torino,
37.1.164.128/26,IT,,Torino,
37.1.164.192/27,IT,,Torino,
37.1.164.224/27,IT,,Torino,
37.1.165.0/25,IT,,Torino,
37.1.165.128/26,PL,,Warszawa,
37.1.165.192/26,IT,,Torino,
37.1.166.0/24,DE,,Frankfurt am Main,
37.1.167.0/24,DE,,Frankfurt am Main,
37.1.174.0/24,FR,,Paris,
37.1.182.0/26,PL,,Warszawa,
37.1.183.0/24,ES,,Madrid,
37.1.184.0/24,ES,,Madrid,
37.1.185.0/25,FR,,Paris,
37.1.185.128/25,GB,,Farnborough,
37.1.186.0/26,PL,,Warszawa,
37.1.186.64/26,NO,,Stavanger,
37.1.186.128/26,HU,,Budapest,
37.1.186.192/26,GR,,Athina,
37.1.187.0/26,PT,,Lisboa,
37.1.187.64/27,IE,,Dublin,
37.1.187.96/29,IE,,Dublin,
37.1.187.104/29,LY,,Tripoli,
37.1.187.112/28,LY,,Tripoli,
37.1.187.128/28,LY,,Tripoli,
37.1.187.144/28,SK,,Bratislava,
37.1.187.160/28,SK,,Bratislava,
37.1.187.176/28,MA,,Marrakech,
37.1.187.192/28,MA,,Marrakech,
37.1.187.208/28,CZ,,Praha,
37.1.187.224/28,AT,,Wien,
37.1.187.240/29,SE,,Stockholm,
37.1.187.248/29,CH,,Lausanne,
37.1.188.0/25,DE,,Frankfurt am Main,
37.1.188.128/28,BE,,Bruxelles,
37.1.188.144/28,LU,,Luxembourg,
37.1.188.160/28,NL,,Amsterdam,
37.1.188.176/29,CY,,Nicosia,
37.1.188.184/29,FI,,Helsinki,
37.1.188.192/29,HR,,Zagreb,
37.1.188.200/29,GE,,Tbilisi,
37.1.188.208/29,GB,,Farnborough,
37.1.188.224/27,FR,,Paris,
37.1.189.0/25,IT,,Torino,
37.1.189.128/25,IT,,Torino,
37.1.190.0/24,FI,,Helsinki,
37.9.176.0/24,CY,,Nicosia,
37.9.178.0/24,CY,,Nicosia,
37.9.179.0/24,CY,,Nicosia,
37.9.180.0/24,CY,,Nicosia,
37.9.181.0/24,CY,,Nicosia,
37.9.183.0/24,CY,,Nicosia,
37.19.96.0/24,IE,,Dublin,
37.19.97.0/24,IE,,Dublin,
37.19.98.0/25,FR,,Paris,
37.19.98.128/27,IE,,Dublin,
37.19.98.160/27,IT,,Torino,
37.19.98.192/27,GB,,Farnborough,
37.19.98.224/28,IE,,Dublin,
37.19.98.240/28,ES,,Madrid,
37.19.101.0/24,IE,,Dublin,
37.19.102.0/24,IE,,Dublin,
37.19.103.0/24,IE,,Dublin,
37.203.192.0/22,GB,,Farnborough,
37.203.198.0/24,IE,,Dublin,
37.203.199.0/24,IE,,Dublin,
37.252.111.0/24,DE,,Frankfurt am Main,
37.252.200.0/24,FR,,Paris,
37.252.202.0/27,FR,,Paris,
37.252.202.32/27,GR,,Athina,
37.252.202.64/27,IE,,Dublin,
37.252.202.96/27,IT,,Torino,
37.252.202.128/26,PT,,Lisboa,
37.252.203.0/24,MA,,Marrakech,
37.252.205.0/24,FR,,Paris,
37.252.206.0/24,FR,,Paris,
37.252.207.0/24,FR,,Paris,
45.140.216.0/24,CH,,Lausanne,
165.220.128.0/24,ES,,Madrid,
165.220.129.0/24,GR,,Athina,
165.220.130.0/24,ES,,Madrid,
165.220.131.0/24,MA,,Marrakech,
165.220.132.0/24,GR,,Athina,
165.220.133.0/24,GB,,Farnborough,
165.220.134.0/24,GB,,Farnborough,
165.220.135.0/24,MA,,Marrakech,
165.220.136.0/24,ES,,Madrid,
165.220.137.0/24,FR,,Paris,
165.220.138.0/24,IT,,Torino,
165.220.139.0/24,GB,,Farnborough,
165.220.140.0/25,DE,,Frankfurt am Main,
165.220.140.128/25,GR,,Athina,
165.220.141.0/25,ES,,Madrid,
165.220.141.128/25,GB,,Farnborough,
165.220.142.0/25,ES,,Madrid,
165.220.142.128/25,GB,,Farnborough,
165.220.143.0/25,MA,,Marrakech,
165.220.143.128/25,GR,,Athina,
165.220.144.0/25,GB,,Farnborough,
165.220.144.128/26,GB,,Farnborough,
165.220.144.192/26,GB,,Farnborough,
165.220.145.0/26,IT,,Torino,
165.220.145.64/26,GB,,Farnborough,
165.220.145.128/26,FR,,Paris,
165.220.145.192/26,DE,,Frankfurt am Main,
165.220.146.0/26,FR,,Paris,
165.220.146.64/26,ES,,Madrid,
165.220.146.128/27,IT,,Torino,
165.220.146.160/27,GB,,Farnborough,
165.220.146.192/27,GB,,Farnborough,
165.220.146.224/27,ES,,Madrid,
165.220.147.0/27,IT,,Torino,
165.220.147.32/27,ES,,Madrid,
165.220.147.64/27,IT,,Torino,
165.220.147.96/27,IT,,Torino,
165.220.147.128/27,CH,,Lausanne,
165.220.147.160/27,GB,,Farnborough,
165.220.147.192/27,FR,,Paris,
165.220.147.224/28,ES,,Madrid,
165.220.147.240/28,FR,,Paris,
165.220.148.0/28,IT,,Torino,
165.220.148.16/28,FR,,Paris,
165.220.148.32/28,GB,,Farnborough,
165.220.148.48/28,FR,,Paris,
165.220.148.64/28,DE,,Frankfurt am Main,
165.220.148.80/28,IT,,Torino,
165.220.148.96/28,IT,,Torino,
165.220.148.112/29,IT,,Torino,
165.220.148.120/29,PT,,Lisboa,
165.220.148.128/29,FR,,Paris,
165.220.148.136/29,DE,,Frankfurt am Main,
165.220.148.144/29,ES,,Madrid,
165.220.148.152/29,IT,,Torino,
165.220.148.160/29,FR,,Paris,
165.220.148.168/29,ES,,Madrid,
165.220.148.176/29,CY,,Nicosia,
165.220.148.184/29,ES,,Madrid,
165.220.148.192/29,GR,,Athina,
165.220.148.200/29,DE,,Frankfurt am Main,
165.220.148.208/29,IT,,Torino,
165.220.148.216/29,CY,,Nicosia,
165.220.148.224/29,ES,,Madrid,
165.220.148.232/29,IT,,Torino,
165.220.148.240/29,DE,,Frankfurt am Main,
165.220.148.248/29,FI,,Helsinki,
165.220.149.0/29,FR,,Paris,
165.220.149.8/29,GB,,Farnborough,
165.220.149.16/29,PL,,Warszawa,
165.220.149.24/29,FR,,Paris,
165.220.149.32/29,DE,,Frankfurt am Main,
165.220.149.40/29,PL,,Warszawa,
165.220.149.48/29,ES,,Madrid,
165.220.149.56/29,DE,,Frankfurt am Main,
165.220.149.64/29,IE,,Dublin,
165.220.149.72/29,ES,,Madrid,
165.220.149.80/29,FR,,Paris,
165.220.149.88/29,GR,,Athina,
165.220.149.96/29,GR,,Athina,
165.220.149.104/29,ES,,Madrid,
165.220.149.112/29,GB,,Farnborough,
165.220.149.120/29,GB,,Farnborough,
165.220.149.128/29,FR,,Paris,
165.220.149.136/29,CY,,Nicosia,
165.220.149.144/29,FR,,Paris,
165.220.149.152/29,PT,,Lisboa,
165.220.150.0/24,ES,,Madrid,
165.220.151.0/26,PT,,Lisboa,
165.220.151.64/26,PT,,Lisboa,
165.220.151.128/27,ES,,Madrid,
165.220.151.160/27,GR,,Athina,
165.220.151.192/28,FR,,Paris,
165.220.151.208/28,FR,,Paris,
165.220.151.224/28,ES,,Madrid,
165.220.151.240/28,NO,,Stavanger,
165.220.152.0/28,PT,,Lisboa,
165.220.152.16/29,IT,,Torino,
165.220.152.24/29,IT,,Torino,
165.220.152.32/29,IT,,Torino,
165.220.152.40/29,GB,,Farnborough,
165.220.153.0/24,IT,,Torino,
165.220.154.0/24,IT,,Torino,
165.220.155.0/24,IT,,Torino,
165.220.156.0/24,IT,,Torino,
165.220.157.0/24,ES,,Madrid,
165.220.158.0/24,IT,,Torino,
165.220.159.0/24,DE,,Frankfurt am Main,
165.220.160.0/24,IT,,Torino,
165.220.161.0/24,FR,,Paris,
165.220.162.0/25,DE,,Frankfurt am Main,
165.220.162.128/25,HR,,Zagreb,
165.220.163.0/25,IT,,Torino,
165.220.163.128/25,IT,,Torino,
165.220.164.0/25,IT,,Torino,
165.220.164.128/26,IE,,Dublin,
165.220.164.192/26,FR,,Paris,
165.220.165.0/26,IT,,Torino,
165.220.165.64/26,IT,,Torino,
165.220.165.128/26,PL,,Warszawa,
165.220.165.192/26,IT,,Torino,
165.220.166.0/26,IT,,Torino,
165.220.166.64/26,IT,,Torino,
165.220.166.128/27,ES,,Madrid,
165.220.166.160/27,IT,,Torino,
165.220.166.192/27,IT,,Torino,
165.220.166.224/27,IT,,Torino,
165.220.167.0/27,ES,,Madrid,
165.220.167.32/28,FR,,Paris,
165.220.167.48/28,IT,,Torino,
165.220.167.64/28,FR,,Paris,
165.220.167.80/28,IT,,Torino,
165.220.167.96/28,ES,,Madrid,
165.220.167.112/28,GR,,Athina,
165.220.167.128/28,GB,,Farnborough,
165.220.167.144/29,GB,,Farnborough,
165.220.167.152/29,DE,,Frankfurt am Main,
165.220.167.160/29,DE,,Frankfurt am Main,
165.220.167.168/29,IT,,Torino,
165.220.167.176/29,PL,,Warszawa,
165.220.167.184/29,GB,,Farnborough,
165.220.167.192/29,GB,,Farnborough,
165.220.167.200/29,IT,,Torino,
165.220.167.208/29,IT,,Torino,
165.220.167.216/29,IT,,Torino,
165.220.167.224/29,IT,,Torino,
165.220.167.232/29,CH,,Lausanne,
165.220.167.240/29,IT,,Torino,
165.220.167.248/29,GB,,Farnborough,
165.220.168.0/29,FR,,Paris,
165.220.168.8/29,ES,,Madrid,
165.220.168.16/29,ES,,Madrid,
165.220.168.24/29,PL,,Warszawa,
165.220.168.32/29,HR,,Zagreb,
165.220.168.40/29,PL,,Warszawa,
165.220.168.48/29,IE,,Dublin,
165.220.168.56/29,IT,,Torino,
165.220.168.64/29,IT,,Torino,
165.220.168.72/29,IE,,Dublin,
165.220.168.80/29,HR,,Zagreb,
165.220.168.88/29,GR,,Athina,
165.220.168.96/29,FR,,Paris,
165.220.168.104/29,DE,,Frankfurt am Main,
165.220.168.112/29,PT,,Lisboa,
165.220.169.0/24,GB,,Farnborough,
165.220.170.0/24,IT,,Torino,
165.220.171.0/24,IT,,Torino,
165.220.172.0/24,GB,,Farnborough,
165.220.173.0/24,GB,,Farnborough,
165.220.174.0/24,IT,,Torino,
165.220.175.0/25,IT,,Torino,
165.220.175.128/25,IT,,Torino,
165.220.176.0/25,IT,,Torino,
165.220.176.128/25,FR,,Paris,
165.220.177.0/26,GB,,Farnborough,
165.220.177.64/26,GB,,Farnborough,
165.220.177.128/26,IE,,Dublin,
165.220.177.192/26,FR,,Paris,
165.220.178.0/26,GB,,Farnborough,
165.220.178.64/26,GR,,Athina,
165.220.178.128/27,GR,,Athina,
165.220.178.160/27,FR,,Paris,
165.220.178.192/27,GB,,Farnborough,
165.220.178.224/27,DE,,Frankfurt am Main,
165.220.179.0/27,PL,,Warszawa,
165.220.179.32/28,IT,,Torino,
165.220.179.48/28,ES,,Madrid,
165.220.179.64/28,NO,,Stavanger,
165.220.179.80/28,ES,,Madrid,
165.220.179.96/28,DE,,Frankfurt am Main,
165.220.179.112/28,GB,,Farnborough,
165.220.179.128/29,IT,,Torino,
165.220.179.136/29,IE,,Dublin,
165.220.179.144/29,IT,,Torino,
165.220.179.152/29,PL,,Warszawa,
165.220.179.160/29,PL,,Warszawa,
165.220.179.168/29,IE,,Dublin,
165.220.179.176/29,FR,,Paris,
165.220.179.184/29,ES,,Madrid,
165.220.179.192/29,PT,,Lisboa,
165.220.180.0/24,IT,,Torino,
165.220.181.0/24,IT,,Torino,
165.220.182.0/24,IT,,Torino,
165.220.183.0/24,IT,,Torino,
165.220.184.0/25,IT,,Torino,
165.220.184.128/25,IT,,Torino,
165.220.185.0/25,IT,,Torino,
165.220.185.128/26,IT,,Torino,
165.220.185.192/26,IT,,Torino,
165.220.186.0/26,IT,,Torino,
165.220.186.64/26,IT,,Torino,
165.220.186.128/27,IT,,Torino,
165.220.186.160/27,IT,,Torino,
165.220.186.192/27,IT,,Torino,
165.220.186.224/27,IT,,Torino,
165.220.187.0/28,IT,,Torino,
165.220.187.16/28,DE,,Frankfurt am Main,
165.220.187.32/28,IT,,Torino,
165.220.187.48/28,IT,,Torino,
165.220.187.64/29,IT,,Torino,
165.220.187.72/29,IT,,Torino,
165.220.187.80/29,IT,,Torino,
165.220.187.88/29,IT,,Torino,
165.220.187.96/29,IT,,Torino,
165.220.187.104/29,IT,,Torino,
165.220.187.112/29,FR,,Paris,
165.220.187.120/29,IT,,Torino,
165.220.187.128/29,PT,,Lisboa,
165.220.188.0/24,ES,,Madrid,
165.220.189.0/24,ES,,Madrid,
165.220.190.0/24,ES,,Madrid,
165.220.191.0/25,ES,,Madrid,
165.220.191.128/28,FR,,Paris,
165.220.191.144/29,IT,,Torino,
165.220.191.152/29,ES,,Madrid,
165.220.191.160/29,IE,,Dublin,
165.220.191.168/29,ES,,Madrid,
165.220.191.176/29,FR,,Paris,
165.220.191.184/29,GB,,Farnborough,
165.220.191.192/29,ES,,Madrid,
165.220.192.0/24,FR,,Paris,
165.220.193.0/24,FR,,Paris,
165.220.194.0/24,FR,,Paris,
165.220.195.0/24,FR,,Paris,
165.220.196.0/24,FR,,Paris,
165.220.197.0/24,FR,,Paris,
165.220.198.0/24,FR,,Paris,
165.220.199.0/24,FR,,Paris,
165.220.200.0/24,FR,,Paris,
165.220.201.0/24,FR,,Paris,
165.220.202.0/24,FR,,Paris,
165.220.203.0/24,FR,,Paris,
165.220.204.0/24,FR,,Paris,
165.220.205.0/24,FR,,Paris,
165.220.206.0/24,FR,,Paris,
165.220.207.0/24,FR,,Paris,
165.220.208.0/24,FR,,Paris,
165.220.209.0/24,FR,,Paris,
165.220.210.0/24,FR,,Paris,
165.220.211.0/24,FR,,Paris,
165.220.212.0/24,FR,,Paris,
165.220.213.0/24,FR,,Paris,
165.220.214.0/24,FR,,Paris,
165.220.215.0/24,FR,,Paris,
165.220.216.0/24,FR,,Paris,
165.220.217.0/24,FR,,Paris,
165.220.218.0/24,FR,,Paris,
165.220.219.0/24,FR,,Paris,
165.220.220.0/24,FR,,Paris,
165.220.221.0/24,FR,,Paris,
165.220.222.0/24,FR,,Paris,
165.220.223.0/24,FR,,Paris,
165.220.224.0/24,FR,,Paris,
165.220.225.0/27,FR,,Paris,
165.220.226.0/24,FR,,Paris,
165.220.227.0/25,FR,,Paris,
165.220.227.128/27,GB,,Farnborough,
165.220.227.160/27,IT,,Torino,
165.220.227.192/28,IT,,Torino,
